symptoms,disease,specialization
"fever,cough,headache,body ache,runny nose",Common Cold,General Physician
"fever,cough,sore throat,runny nose,sneezing",Common Cold,General Physician
"cough,sneezing,runny nose,congestion,mild fever",Common Cold,General Physician
"blocked nose,watery eyes,sneezing,mild headache",Common Cold,General Physician
"runny nose,sore throat,cough,fatigue",Common Cold,General Physician
"fever,chills,body ache,fatigue,cough",Flu,General Physician
"high fever,severe body ache,headache,fatigue",Flu,General Physician
"fever,cough,sore throat,muscle pain,chills",Flu,General Physician
"sudden fever,headache,fatigue,loss of appetite",Flu,General Physician
"fever,dry cough,shortness of breath,fatigue",COVID-19,General Physician
"loss of smell,loss of taste,fever,dry cough",COVID-19,General Physician
"fever,body ache,loss of smell,sore throat",COVID-19,General Physician
"headache,nausea,dizziness,vomiting,sensitivity to light",Migraine,Neurologist
"severe headache,throbbing pain,nausea,blurred vision",Migraine,Neurologist
"one sided headache,sensitivity to sound,nausea",Migraine,Neurologist
"pulsating headache,visual disturbances,vomiting",Migraine,Neurologist
"chest pain,shortness of breath,sweating,arm pain",Cardiac Issue,Cardiologist
"chest tightness,heart palpitations,dizziness,fatigue",Cardiac Issue,Cardiologist
"chest pain,left arm pain,jaw pain,nausea",Cardiac Issue,Cardiologist
"irregular heartbeat,chest discomfort,shortness of breath",Cardiac Issue,Cardiologist
"rash,itching,redness,swelling,hives",Skin Allergy,Dermatologist
"itchy skin,skin rash,redness,bumps",Skin Allergy,Dermatologist
"skin irritation,itching,redness,dryness",Skin Allergy,Dermatologist
"hives,swelling,itching,skin inflammation",Skin Allergy,Dermatologist
"nausea,vomiting,stomach pain,diarrhoea,cramps",Gastroenteritis,Gastroenterologist
"loose motions,vomiting,stomach cramps,fever",Gastroenteritis,Gastroenterologist
"watery diarrhoea,nausea,abdominal pain",Gastroenteritis,Gastroenterologist
"vomiting,diarrhoea,dehydration,weakness",Gastroenteritis,Gastroenterologist
"joint pain,swelling,stiffness,morning stiffness",Arthritis,Rheumatologist
"knee pain,joint inflammation,swelling,difficulty walking",Arthritis,Rheumatologist
"joint pain,warmth,redness,swelling",Arthritis,Rheumatologist
"multiple joint pain,fatigue,stiffness after rest",Arthritis,Rheumatologist
"fatigue,weakness,pale skin,dizziness,shortness of breath",Anaemia,General Physician
"tiredness,pale complexion,cold hands,brittle nails",Anaemia,General Physician
"fatigue,breathlessness,rapid heartbeat,weakness",Anaemia,General Physician
"cough,wheezing,shortness of breath,chest tightness",Asthma,Pulmonologist
"wheezing,breathlessness,coughing at night,chest tightness",Asthma,Pulmonologist
"difficulty breathing,whistling sound,cough,breathlessness",Asthma,Pulmonologist
"eye redness,itching,discharge,watering eyes",Conjunctivitis,Ophthalmologist
"pink eye,eye pain,sensitivity to light,discharge",Conjunctivitis,Ophthalmologist
"red eyes,eye irritation,crusty eyes,discharge",Conjunctivitis,Ophthalmologist
"ear pain,hearing loss,discharge from ear,fever",Ear Infection,ENT Specialist
"ear ache,muffled hearing,ringing in ear,pain",Ear Infection,ENT Specialist
"sore throat,difficulty swallowing,hoarseness,fever",Throat Infection,ENT Specialist
"throat pain,swollen tonsils,fever,bad breath",Throat Infection,ENT Specialist
"burning urination,frequent urination,cloudy urine,pelvic pain",UTI,Urologist
"painful urination,urgent urination,lower abdominal pain",UTI,Urologist
"frequent urination,excessive thirst,fatigue,blurred vision",Diabetes,Endocrinologist
"increased hunger,weight loss,frequent urination,slow healing",Diabetes,Endocrinologist
"high blood pressure,headache,dizziness,chest pain",Hypertension,Cardiologist
"severe headache,blurred vision,chest pain,difficulty breathing",Hypertension,Cardiologist
"acid reflux,heartburn,chest burning,regurgitation",GERD,Gastroenterologist
"heartburn after eating,sour taste,chest discomfort,bloating",GERD,Gastroenterologist
"back pain,muscle stiffness,difficulty moving,spasm",Back Pain,Orthopedist
"lower back pain,radiating leg pain,numbness,tingling",Back Pain,Orthopedist
"severe back pain,sciatica,weakness in legs",Back Pain,Orthopedist
"skin acne,pimples,blackheads,oily skin,inflammation",Acne,Dermatologist
"facial acne,whiteheads,cystic acne,skin redness",Acne,Dermatologist
"dry skin,flaky skin,itchy patches,skin scaling",Eczema,Dermatologist
"skin rash,dry patches,itching,inflammation,thickened skin",Eczema,Dermatologist
"yellow skin,yellow eyes,dark urine,fatigue,nausea",Jaundice,Gastroenterologist
"jaundice,abdominal pain,loss of appetite,weakness",Jaundice,Gastroenterologist
"fever,headache,muscle pain,joint pain,rash",Dengue,General Physician
"high fever,severe headache,pain behind eyes,rash",Dengue,General Physician
"fever,chills,sweating,headache,muscle aches",Malaria,General Physician
"periodic fever,chills,sweating,nausea,vomiting",Malaria,General Physician
"fever,abdominal pain,diarrhoea,headache,weakness",Typhoid,General Physician
"sustained fever,loss of appetite,abdominal pain,rash",Typhoid,General Physician
"cough,fever,night sweats,weight loss,fatigue",Tuberculosis,Pulmonologist
