symptoms,disease,specialization
"fever,cough,headache,body ache",Common Cold,General Physician
"fever,cough,sore throat,runny nose",Flu,General Physician
"fever,cough,headache",Common Cold,General Physician
"cough,sneezing,runny nose",Common Cold,General Physician
"fever,chills,body ache",Flu,General Physician
"fever,cough,fatigue",Flu,General Physician
"sore throat,fever,cough",Flu,General Physician
"headache,nausea,dizziness",Migraine,Neurologist
"severe headache,sensitivity to light",Migraine,Neurologist
"headache,vomiting",Migraine,Neurologist
"headache,nausea,vomiting,dizziness",Migraine,Neurologist
"chest pain,shortness of breath,fatigue",Cardiac Issue,Cardiologist
"chest pain,heart palpitations",Cardiac Issue,Cardiologist
"chest pain,shortness of breath",Cardiac Issue,Cardiologist
"chest pain,arm pain,sweating",Cardiac Issue,Cardiologist
"rash,itching,redness",Skin Allergy,Dermatologist
"skin rash,itching",Skin Allergy,Dermatologist
"redness,itching,swelling",Skin Allergy,Dermatologist
"rash,hives,itching",Skin Allergy,Dermatologist
"nausea,vomiting,stomach pain",Gastroenteritis,Gastroenterologist
"diarrhoea,nausea,vomiting",Gastroenteritis,Gastroenterologist
"stomach pain,nausea",Gastroenteritis,Gastroenterologist
"vomiting,diarrhoea,stomach cramps",Gastroenteritis,Gastroenterologist
"joint pain,swelling,stiffness",Arthritis,Rheumatologist
"joint pain,morning stiffness",Arthritis,Rheumatologist
"joint pain,swelling,warmth",Arthritis,Rheumatologist
"fatigue,weakness,pale skin",Anaemia,General Physician
"fatigue,dizziness,weakness",Anaemia,General Physician
"fatigue,shortness of breath,pale skin",Anaemia,General Physician
"cough,wheezing,shortness of breath",Asthma,Pulmonologist
"wheezing,chest tightness",Asthma,Pulmonologist
"shortness of breath,wheezing,coughing at night",Asthma,Pulmonologist
"eye pain,redness,blurred vision",Conjunctivitis,Ophthalmologist
"red eyes,itching,discharge",Conjunctivitis,Ophthalmologist
"eye discharge,redness,watering",Conjunctivitis,Ophthalmologist
"ear pain,hearing loss,discharge",Ear Infection,ENT Specialist
"ear pain,fever",Ear Infection,ENT Specialist
"ear pain,ringing,hearing loss",Ear Infection,ENT Specialist
"throat pain,difficulty swallowing,hoarseness",Throat Infection,ENT Specialist
"sore throat,swollen glands,fever",Throat Infection,ENT Specialist
"frequent urination,burning sensation,cloudy urine",UTI,Urologist
"pelvic pain,frequent urination",UTI,Urologist
"back pain,frequent urination,fever",UTI,Urologist
"high blood sugar,frequent urination,excessive thirst",Diabetes,Endocrinologist
"fatigue,blurred vision,slow healing wounds",Diabetes,Endocrinologist
"excessive thirst,weight loss,fatigue",Diabetes,Endocrinologist
"high blood pressure,headache,dizziness",Hypertension,Cardiologist
"chest heaviness,blurred vision,high blood pressure",Hypertension,Cardiologist
